2026-04-02T14:27:10[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:29:15[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:30:16[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:44:53[D][fdc.go:427]: Load Floppy content from file floppy/floppyB.okd.
2026-04-02T14:44:53[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T14:44:54[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.055ms
2026-04-02T14:45:15[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.015ms
2026-04-02T14:45:16[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.988ms
2026-04-02T14:45:17[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.029ms
2026-04-02T14:45:18[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.931ms
2026-04-02T14:45:19[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.038ms
2026-04-02T14:45:20[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.971ms
2026-04-02T14:45:21[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.997ms
2026-04-02T14:45:22[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.037ms
2026-04-02T14:45:23[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.956ms
2026-04-02T14:45:24[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.989ms
2026-04-02T14:45:25[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:45:26[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.004ms
2026-04-02T14:45:27[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.044ms
2026-04-02T14:45:28[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.940ms
2026-04-02T14:45:29[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.000ms
2026-04-02T14:45:30[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.010ms
2026-04-02T14:45:31[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.976ms
2026-04-02T14:45:32[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.879ms
2026-04-02T14:45:33[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.023ms
2026-04-02T14:45:34[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.000ms
2026-04-02T14:45:35[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.052ms
2026-04-02T14:45:36[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.925ms
2026-04-02T14:45:37[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.016ms
2026-04-02T14:45:38[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 19.983ms
2026-04-02T14:45:39[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 19.983ms
2026-04-02T14:45:40[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 20.015ms
2026-04-02T14:45:41[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 20.013ms
2026-04-02T14:45:42[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 19.953ms
2026-04-02T14:45:43[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 19.994ms
2026-04-02T14:45:44[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 20.001ms
2026-04-02T14:45:45[D][main.go:125]: Cpu clk period: 306, Timer clock period: 430, frame time: 19.990ms
2026-04-02T14:45:46[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.996ms
2026-04-02T14:45:47[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.990ms
2026-04-02T14:45:48[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.979ms
2026-04-02T14:45:49[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.012ms
2026-04-02T14:45:50[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.991ms
2026-04-02T14:45:51[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:45:52[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.002ms
2026-04-02T14:45:53[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:45:54[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.994ms
2026-04-02T14:45:55[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.975ms
2026-04-02T14:45:56[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.007ms
2026-04-02T14:45:57[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.016ms
2026-04-02T14:45:58[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.966ms
2026-04-02T14:45:59[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.019ms
2026-04-02T14:46:00[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.004ms
2026-04-02T14:46:01[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.003ms
2026-04-02T14:46:02[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.975ms
2026-04-02T14:46:03[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:46:04[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.994ms
2026-04-02T14:46:05[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.006ms
2026-04-02T14:46:06[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.984ms
2026-04-02T14:46:07[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.016ms
2026-04-02T14:46:08[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.982ms
2026-04-02T14:46:09[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.981ms
2026-04-02T14:46:10[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.012ms
2026-04-02T14:46:11[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:46:12[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.005ms
2026-04-02T14:46:13[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.981ms
2026-04-02T14:46:14[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:46:15[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.939ms
2026-04-02T14:46:16[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.061ms
2026-04-02T14:46:17[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.980ms
2026-04-02T14:46:18[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.006ms
2026-04-02T14:46:19[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.014ms
2026-04-02T14:46:20[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.975ms
2026-04-02T14:46:21[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.983ms
2026-04-02T14:46:22[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.040ms
2026-04-02T14:46:23[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.965ms
2026-04-02T14:46:24[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:46:25[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 19.976ms
2026-04-02T14:46:26[D][main.go:125]: Cpu clk period: 308, Timer clock period: 430, frame time: 20.048ms
2026-04-02T14:46:27[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.961ms
2026-04-02T14:46:28[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:46:29[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.015ms
2026-04-02T14:46:30[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.976ms
2026-04-02T14:46:31[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.003ms
2026-04-02T14:46:32[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.045ms
2026-04-02T14:46:33[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.954ms
2026-04-02T14:46:34[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.988ms
2026-04-02T14:46:35[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.009ms
2026-04-02T14:46:36[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.967ms
2026-04-02T14:46:37[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.997ms
2026-04-02T14:46:38[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.040ms
2026-04-02T14:46:39[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.942ms
2026-04-02T14:46:40[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.003ms
2026-04-02T14:46:41[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.002ms
2026-04-02T14:46:42[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.020ms
2026-04-02T14:46:43[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.953ms
2026-04-02T14:46:44[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.987ms
2026-04-02T14:46:45[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.016ms
2026-04-02T14:46:46[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.002ms
2026-04-02T14:46:47[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 20.011ms
2026-04-02T14:46:48[D][main.go:125]: Cpu clk period: 303, Timer clock period: 430, frame time: 19.981ms
2026-04-02T14:46:49[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.032ms
2026-04-02T14:46:50[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.929ms
2026-04-02T14:46:51[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.022ms
2026-04-02T14:46:52[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.999ms
2026-04-02T14:46:53[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.002ms
2026-04-02T14:46:54[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.005ms
2026-04-02T14:46:55[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.979ms
2026-04-02T14:46:56[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.000ms
2026-04-02T14:46:57[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.972ms
2026-04-02T14:46:58[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:46:59[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.038ms
2026-04-02T14:47:00[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.972ms
2026-04-02T14:47:01[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.991ms
2026-04-02T14:47:02[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:47:03[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.008ms
2026-04-02T14:47:04[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.981ms
2026-04-02T14:47:05[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.013ms
2026-04-02T14:47:06[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.981ms
2026-04-02T14:47:07[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:47:08[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.007ms
2026-04-02T14:47:09[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.990ms
2026-04-02T14:47:10[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:47:11[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.975ms
2026-04-02T14:47:12[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.037ms
2026-04-02T14:47:13[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.991ms
2026-04-02T14:47:14[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.925ms
2026-04-02T14:47:15[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.075ms
2026-04-02T14:47:16[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.949ms
2026-04-02T14:47:17[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.025ms
2026-04-02T14:47:18[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.963ms
2026-04-02T14:47:19[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.057ms
2026-04-02T14:47:20[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.955ms
2026-04-02T14:47:21[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.006ms
2026-04-02T14:47:22[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.982ms
2026-04-02T14:47:23[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.997ms
2026-04-02T14:47:24[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:47:25[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.016ms
2026-04-02T14:47:26[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.977ms
2026-04-02T14:47:27[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.987ms
2026-04-02T14:47:28[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.008ms
2026-04-02T14:47:29[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.985ms
2026-04-02T14:47:30[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.982ms
2026-04-02T14:47:31[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.038ms
2026-04-02T14:47:32[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.979ms
2026-04-02T14:47:33[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.993ms
2026-04-02T14:47:34[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.035ms
2026-04-02T14:47:35[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.949ms
2026-04-02T14:47:36[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.980ms
2026-04-02T14:47:37[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.993ms
2026-04-02T14:47:38[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.038ms
2026-04-02T14:47:39[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.947ms
2026-04-02T14:47:40[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:47:41[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.998ms
2026-04-02T14:47:42[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.018ms
2026-04-02T14:47:43[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.989ms
2026-04-02T14:47:44[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.015ms
2026-04-02T14:47:45[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 19.962ms
2026-04-02T14:47:46[D][main.go:125]: Cpu clk period: 305, Timer clock period: 430, frame time: 20.021ms
2026-04-02T14:47:47[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.996ms
2026-04-02T14:47:48[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:47:49[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.002ms
2026-04-02T14:47:50[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.990ms
2026-04-02T14:47:51[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.003ms
2026-04-02T14:47:52[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.005ms
2026-04-02T14:47:53[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.000ms
2026-04-02T14:47:54[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.961ms
2026-04-02T14:47:55[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 20.018ms
2026-04-02T14:47:56[D][main.go:125]: Cpu clk period: 307, Timer clock period: 430, frame time: 19.992ms
2026-04-02T14:47:57[D][main.go:125]: Cpu clk period: 309, Timer clock period: 430, frame time: 19.995ms
2026-04-02T14:47:58[D][main.go:125]: Cpu clk period: 309, Timer clock period: 430, frame time: 19.999ms
2026-04-02T14:47:59[D][main.go:125]: Cpu clk period: 309, Timer clock period: 430, frame time: 19.973ms
2026-04-02T14:48:00[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 20.005ms
2026-04-02T14:48:01[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 20.044ms
2026-04-02T14:48:02[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 19.957ms
2026-04-02T14:48:03[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 20.018ms
2026-04-02T14:48:04[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 19.975ms
2026-04-02T14:48:05[D][main.go:125]: Cpu clk period: 311, Timer clock period: 430, frame time: 20.008ms
2026-04-02T14:48:06[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.989ms
2026-04-02T14:48:07[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.975ms
2026-04-02T14:48:08[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 20.029ms
2026-04-02T14:48:09[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.977ms
2026-04-02T14:48:10[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.986ms
2026-04-02T14:48:11[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 20.013ms
2026-04-02T14:48:12[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.991ms
2026-04-02T14:48:13[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.985ms
2026-04-02T14:48:14[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.969ms
2026-04-02T14:48:15[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.997ms
2026-04-02T14:48:16[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 20.033ms
2026-04-02T14:48:17[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.986ms
2026-04-02T14:48:18[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 20.008ms
2026-04-02T14:48:19[D][main.go:125]: Cpu clk period: 303, Timer clock period: 433, frame time: 19.975ms
2026-04-02T14:48:20[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.006ms
2026-04-02T14:48:21[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.969ms
2026-04-02T14:48:22[D][main.go:125]: Cpu clk period: 307, Timer clock period: 433, frame time: 20.015ms
2026-04-02T14:48:23[D][main.go:125]: Cpu clk period: 307, Timer clock period: 433, frame time: 19.992ms
2026-04-02T14:48:24[D][main.go:125]: Cpu clk period: 307, Timer clock period: 433, frame time: 19.996ms
2026-04-02T14:48:25[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.001ms
2026-04-02T14:48:26[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.000ms
2026-04-02T14:48:27[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.035ms
2026-04-02T14:48:28[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.947ms
2026-04-02T14:48:29[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.993ms
2026-04-02T14:48:30[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.994ms
2026-04-02T14:48:31[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.996ms
2026-04-02T14:48:32[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.982ms
2026-04-02T14:48:33[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.006ms
2026-04-02T14:48:34[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.988ms
2026-04-02T14:48:35[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.004ms
2026-04-02T14:48:36[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 20.016ms
2026-04-02T14:48:37[D][main.go:125]: Cpu clk period: 309, Timer clock period: 433, frame time: 19.957ms
2026-04-02T14:48:38[D][main.go:125]: Cpu clk period: 304, Timer clock period: 433, frame time: 20.072ms
2026-04-02T14:48:39[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 19.953ms
2026-04-02T14:48:40[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 19.940ms
2026-04-02T14:48:41[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 20.003ms
2026-04-02T14:48:42[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 19.995ms
2026-04-02T14:48:43[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 19.995ms
2026-04-02T14:48:44[D][main.go:125]: Cpu clk period: 302, Timer clock period: 433, frame time: 19.995ms
2026-04-02T14:48:45[D][main.go:125]: Cpu clk period: 300, Timer clock period: 433, frame time: 19.988ms
2026-04-02T14:48:46[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.987ms
2026-04-02T14:48:47[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.012ms
2026-04-02T14:48:48[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.001ms
2026-04-02T14:48:49[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.990ms
2026-04-02T14:48:50[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.002ms
2026-04-02T14:48:51[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.991ms
2026-04-02T14:48:52[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.007ms
2026-04-02T14:48:53[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.984ms
2026-04-02T14:48:54[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 20.031ms
2026-04-02T14:48:55[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.957ms
2026-04-02T14:48:56[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.999ms
2026-04-02T14:48:57[D][main.go:125]: Cpu clk period: 305, Timer clock period: 433, frame time: 19.978ms
2026-04-02T14:48:57[D][fdc.go:445]: Save Floppy to file floppy/floppyB.okd.
2026-04-02T15:06:54[D][fdc.go:427]: Load Floppy content from file floppy/floppyB.okd.
2026-04-02T15:06:55[I][zrcp.go:117]: Ready for debugger connections on localhost:10001
2026-04-02T15:06:56[D][main.go:127]: Cpu clk period: 238, Timer clock period: 358, frame time: 20.000ms
2026-04-02T15:06:57[D][main.go:127]: Cpu clk period: 318, Timer clock period: 418, frame time: 19.994ms
2026-04-02T15:06:58[D][main.go:127]: Cpu clk period: 398, Timer clock period: 498, frame time: 19.993ms
